00	2030.53	973.304
16	1956	1052
17	1944	1031
18	1928	1005
20	1927	949
21	1937	924
22	1951	900
04	2104	895
23	1974	883
03	2081	880
24	2000	871
13	2032	1079
14	2005	1078
12	2060	1077
11	2085	1065
19	1928	977
02	2056	869
01	2029	867
15	1979	1068
07	2138	968
05	2121	917
06	2133	944
09	2133	1027
08	2132	999
00	2278.95	965.446
11	2334	1060
02	2304	861
24	2244	861
12	2309	1069
18	2174	996
19	2175	968
07	2376	963
06	2383	935
16	2202	1055
09	2372	1016
08	2383	991
20	2173	940
22	2200	890
23	2225	875
03	2330	870
01	2276	861
21	2184	914
05	2369	910
04	2353	887
14	2252	1070
15	2226	1061
10	2357	1038
00	2535.79	961.518
15	2483	1057
13	2537	1059
11	2593	1052
16	2461	1040
20	2430	934
01	2533	853
24	2505	855
12	2565	1066
09	2630	1015
08	2641	988
07	2639	960
06	2639	932
04	2610	884
23	2480	868
02	2559	856
10	2613	1037
18	2431	991
21	2440	909
05	2627	906
19	2437	963
22	2457	886
00	1769.47	1218.84
14	1745	1324
16	1696	1298
17	1679	1276
09	1864	1271
07	1865	1215
22	1692	1146
04	1842	1141
12	1800	1322
18	1667	1251
20	1664	1196
21	1676	1169
03	1819	1125
15	1720	1313
02	1793	1115
01	1766	1112
11	1826	1311
10	1847	1294
19	1667	1223
23	1713	1128
24	1734	1119
08	1873	1246
06	1871	1190
05	1859	1163
00	3062.11	1197.23
12	3090	1304
13	3063	1305
10	3143	1274
18	2959	1227
20	2961	1171
01	3064	1091
14	3035	1303
11	3117	1291
16	2986	1275
17	2970	1254
08	3167	1225
06	3167	1168
04	3140	1120
23	3010	1103
03	3117	1102
02	3090	1092
15	3009	1291
09	3154	1249
05	3156	1143
22	2988	1121
24	3034	1092
07	3170	1197
21	2971	1144
19	2960	1198
00	1518.95	989.018
14	1493	1094
12	1548	1092
15	1467	1084
16	1446	1067
10	1594	1061
09	1611	1041
17	1428	1046
18	1417	1020
19	1417	994
20	1416	966
06	1619	959
21	1425	939
05	1611	936
22	1442	916
03	1569	895
02	1544	885
11	1573	1080
08	1621	1014
23	1464	899
24	1489	887
01	1515	882
13	1520	1092
07	1623	986
04	1599	907
00	2782.11	955.625
12	2814	1061
10	2864	1030
09	2887	1010
07	2885	954
20	2680	928
02	2804	852
01	2781	848
13	2786	1062
14	2758	1061
15	2731	1050
11	2839	1049
08	2889	982
04	2857	878
23	2728	861
03	2835	861
24	2754	850
16	2709	1033
05	2873	901
21	2677	898
22	2706	880
17	2695	1010
18	2681	985
19	2674	960
00	3314.74	1193.3
13	3314	1303
10	3390	1274
16	3241	1270
18	3208	1222
04	3387	1117
01	3310	1085
14	3286	1299
15	3259	1288
17	3220	1249
19	3211	1195
07	3414	1191
20	3210	1170
06	3420	1164
22	3235	1117
03	3366	1097
02	3340	1086
00	1276.84	1236.52
13	1281	1342
14	1254	1338
12	1306	1338
15	1229	1329
11	1333	1326
09	1368	1287
18	1180	1265
08	1377	1261
19	1183	1236
20	1178	1210
06	1378	1205
21	1187	1184
05	1368	1181
22	1204	1163
04	1348	1159
24	1250	1134
02	1302	1132
01	1275	1129
07	1374	1233
23	1225	1145
00	1045.26	1244.38
14	1020	1346
12	1071	1345
16	974	1321
10	1116	1317
08	1140	1268
19	949	1249
07	1142	1241
20	948	1219
06	1136	1213
05	1126	1189
01	1038	1146
24	1012	1144
18	952	1270
00	1756.84	741.518
11	1813	830
10	1839	815
18	1654	771
08	1859	766
20	1653	716
21	1663	692
04	1829	664
22	1680	669
23	1701	651
01	1754	636
14	1734	848
17	1666	797
06	1859	710
05	1848	685
24	1726	639
02	1782	638
16	1683	818
09	1850	790
03	1808	648
15	1705	835
07	1856	738
13	1757	848
00	2283.16	1209.02
15	2231	1304
10	2368	1290
19	2181	1211
04	2354	1133
23	2227	1116
13	2285	1317
14	2257	1314
17	2191	1265
21	2189	1156
12	2313	1313
16	2208	1287
18	2179	1239
06	2387	1179
11	2339	1302
22	2206	1133
03	2335	1114
02	2309	1103
20	2166	1182
24	2258	1104
00	2546.32	1485.98
13	2545	1592
16	2473	1562
09	2643	1537
06	2649	1457
05	2638	1432
02	2570	1391
12	2573	1588
15	2492	1578
17	2452	1540
07	2648	1484
20	2442	1460
04	2623	1410
14	2518	1590
24	2519	1384
01	2546	1380
11	2599	1583
18	2443	1514
19	2438	1487
03	2601	1394
22	2470	1411
23	2491	1396
00	2045.26	1491.88
13	2045	1598
12	2073	1595
15	1993	1585
17	1954	1545
20	1941	1465
21	1952	1440
04	2118	1417
03	2094	1402
23	1990	1401
14	2018	1595
11	2098	1583
16	1971	1566
10	2120	1567
09	2136	1545
18	1942	1520
08	2147	1519
19	1941	1495
07	2140	1489
05	2135	1438
22	1968	1418
02	2069	1391
01	2043	1387
24	2015	1391
06	2146	1465
00	1533.68	1507.59
13	1539	1611
11	1590	1596
15	1482	1598
10	1612	1579
17	1447	1562
09	1628	1557
18	1434	1537
08	1636	1532
19	1437	1508
07	1629	1502
20	1432	1483
21	1441	1457
22	1456	1436
03	1581	1417
23	1477	1419
24	1502	1406
02	1557	1404
14	1512	1608
12	1565	1607
06	1634	1478
05	1624	1452
04	1605	1430
01	1530	1401
00	3064.21	1474.2
11	3119	1564
15	3009	1566
19	2959	1475
04	3139	1401
22	2990	1401
03	3115	1384
24	3038	1370
12	3090	1579
14	3034	1578
09	3155	1528
17	2971	1529
18	2960	1504
07	3165	1473
06	3168	1447
05	3159	1422
21	2972	1423
23	3011	1382
20	2962	1447
00	2775.79	712.054
12	2806	816
18	2675	741
19	2674	715
21	2680	660
05	2865	651
22	2696	639
24	2745	610
01	2778	603
10	2855	787
09	2870	764
07	2877	711
20	2672	685
06	2879	682
04	2849	634
03	2826	618
02	2800	607
13	2780	814
15	2727	805
17	2686	767
14	2751	817
00	3308.42	945.804
14	3282	1052
11	3365	1042
15	3254	1041
16	3232	1022
18	3208	978
19	3206	946
06	3411	916
20	3203	919
05	3402	890
04	3382	868
17	3215	1000
07	3417	945
21	3214	894
22	3231	870
24	3278	841
01	3305	838
08	3415	973
00	1272.63	996.875
12	1298	1101
13	1272	1101
14	1245	1101
15	1220	1092
11	1323	1088
16	1198	1076
10	1344	1070
17	1186	1055
09	1361	1048
08	1366	1022
06	1370	967
21	1183	948
22	1196	927
05	1359	942
04	1341	920
23	1216	911
03	1319	905
02	1294	894
24	1240	896
07	1372	994
01	1268	892
00	1055.79	1515.45
13	1060	1620
12	1086	1615
14	1033	1615
15	1009	1605
16	989	1589
07	1154	1514
20	958	1490
04	1123	1441
23	1002	1426
02	1077	1415
24	1025	1415
01	1051	1412
00	784.211	1254.2
14	764	1356
16	717	1331
10	860	1324
08	884	1278
07	887	1250
06	881	1224
21	695	1206
22	711	1183
23	731	1166
02	807	1152
01	782	1149
00	1763.16	979.196
20	1660	957
06	1865	947
21	1669	930
22	1686	907
15	1713	1074
17	1672	1036
18	1661	1011
07	1868	976
01	1759	875
02	1787	874
16	1690	1059
05	1852	924
04	1836	901
23	1707	888
24	1735	876
12	1793	1082
11	1819	1069
03	1813	884
09	1858	1025
08	1871	1001
00	2024.21	733.661
14	1998	837
12	2053	835
09	2115	783
08	2127	756
19	1913	742
20	1920	710
15	1971	829
11	2079	824
10	2101	806
17	1933	789
18	1921	765
06	2126	703
21	1930	685
05	2113	677
04	2097	655
03	2074	639
02	2048	631
01	2020	628
22	1945	662
24	1993	632
23	1969	651
00	2527.37	717.946
12	2558	821
16	2452	794
18	2422	747
01	2523	611
03	2578	624
24	2496	612
14	2501	822
13	2525	822
